mod; YYYY/MM/DD; HH:MM:SS; aligned
src; "Omnibus Systems - Omnibase "; "2010/03/28" ; "11:14:07"
chs; "ASCII"
ver; "For help and support contact the Omnibus Support Team"
ifv; "Version 5.0"
dve; "For help and support contact the Omnibus Support Team"
fft; ""
tbl; STOP_POINT
atr; BASE_VERSION; POINT_TYPE; POINT_NO; STOP_POINT_NO; STOP_POINT_DESC
frm; num[11.0]; num[11.0]; num[11.0]; num[11.0]; char[40]
rec;    20100328;           1;       20400;           0;                                "Mardyke"
rec;    20100328;           1;       20401;           1;                                "Mardyke"
rec;    20100328;           1;       20500;           0;                            "Beach Green"
rec;    20100328;           1;       20501;           1;                            "Beach Green"
rec;    20100328;           1;       20601;           1;                             "Weald Dyke"
rec;    20100328;           1;       20701;           1;                             "Ferry Road"
rec;    20100328;           1;       20801;           1;                           "Shingle Road"
rec;    20100328;           1;       20901;           1;                          "Old Fort Road"
rec;    20100328;           1;       21001;           1;                    "Winterton Way South"
rec;    20100328;           1;       21100;           0;                 "The Burrells South End"
rec;    20100328;           1;       21200;           0;                   "Bottom of The Avenue"
rec;    20100328;           1;       21201;           1;                   "Bottom of The Avenue"
rec;    20100328;           1;       21300;           0;                       "The Avenue Steps"
rec;    20100328;           1;       21301;           1;                       "The Avenue Steps"
rec;    20100328;           1;       21400;           0;                            "Manton Road"
rec;    20100328;           1;       21401;           1;                            "Manton Road"
rec;    20100328;           1;       21500;           0;                       "The Avenue Shops"
rec;    20100328;           1;       21501;           1;                       "The Avenue Shops"
rec;    20100328;           1;       21600;           0;                       "Heath Hill Lodge"
rec;    20100328;           1;       21601;           1;                       "Heath Hill Lodge"
rec;    20100328;           1;       21700;           0;              "Heath Hill Avenue Surgery"
rec;    20100328;           1;       21701;           1;              "Heath Hill Avenue Surgery"
rec;    20100328;           1;       21801;           1;                            "Knepp Close"
rec;    20100328;           1;       21901;           1;                       "Norwich Crescent"
rec;    20100328;           1;       22001;           1;                       "Kenilworth Close"
rec;    20100328;           1;       22101;           1;                          "Norwich Close"
rec;    20100328;           1;       22201;           1;                          "Bodiam Avenue"
rec;    20100328;           1;       22300;           0;                   "Hornby Road East End"
rec;    20100328;           1;       22400;           0;                         "Leybourne Road"
rec;    20100328;           1;       22500;           0;                            "Taunton Way"
